Time [s],V [mV],,,
3.883333333,4242.4242,,,
3.9,3064.5161,,,
3.916666667,1994.1349,,,
3.933333333,1314.7605,,,
3.95,879.7654,,,
3.966666667,596.2854,,,
3.983333333,415.4448,,,
4,298.1427,,,
4.016666667,224.8289,,,
4.033333333,175.9531,,,
4.05,146.6276,,,
4.066666667,127.0772,,,
4.083333333,117.3021,,,
4.1,102.6393,,,
4.116666667,102.6393,,,
4.133333333,97.7517,,,
4.15,102.6393,,,
4.166666667,97.7517,,,
4.183333333,97.7517,,,
4.2,97.7517,,,
4.216666667,97.7517,,,
4.233333333,102.6393,,,
4.25,102.6393,,,
4.266666667,102.6393,,,
4.283333333,97.7517,,,
4.3,102.6393,,,
4.316666667,102.6393,,,
4.333333333,102.6393,,,
4.35,97.7517,,,
4.366666667,102.6393,,,
4.383333333,97.7517,,,
4.4,117.3021,,,
4.416666667,161.2903,,,
4.433333333,283.48,,,
4.45,449.6579,,,
4.466666667,635.3861,,,
4.483333333,826.002,,,
4.5,1011.7302,,,
4.516666667,1187.6833,,,
4.533333333,1373.4115,,,
4.55,1554.2522,,,
4.566666667,1720.4301,,,
4.583333333,1857.2825,,,
4.6,1969.697,,,
4.616666667,2082.1114,,,
4.633333333,2228.739,,,
4.65,2390.0293,,,
4.666666667,2575.7576,,,
4.683333333,2766.3734,,,
4.7,2932.5513,,,
4.716666667,3103.6168,,,
4.733333333,3299.1202,,,
4.75,3479.9609,,,
4.766666667,3665.6891,,,
4.783333333,3841.6422,,,
4.8,4002.9326,,,
4.816666667,4154.4477,,,
4.833333333,4310.8504,,,
4.85,4486.8035,,,
4.866666667,4677.4194,,,
4.883333333,4858.26,,,
4.9,5000,,,
4.916666667,5000,,,
4.933333333,5000,,,
4.95,5000,,,
4.966666667,5000,,,
4.983333333,5000,,,
5,5000,,,
5.016666667,5000,,,
5.033333333,5000,,,
5.05,4159.3353,,,
5.066666667,2751.7107,,,
5.083333333,1798.6315,,,
5.1,1187.6833,,,
5.116666667,801.564,,,
5.133333333,547.4096,,,
5.15,386.1193,,,
5.166666667,283.48,,,
5.183333333,219.9413,,,
5.2,175.9531,,,
5.216666667,151.5152,,,
5.233333333,131.9648,,,
5.25,122.1896,,,
5.266666667,112.4145,,,
5.283333333,107.5269,,,
5.3,102.6393,,,
5.316666667,102.6393,,,
5.333333333,102.6393,,,
5.35,102.6393,,,
5.366666667,102.6393,,,
5.383333333,102.6393,,,
5.4,97.7517,,,
5.416666667,102.6393,,,
5.433333333,102.6393,,,
5.45,107.5269,,,
5.466666667,102.6393,,,
5.483333333,102.6393,,,
5.5,112.4145,,,
5.516666667,146.6276,,,
5.533333333,200.391,,,
5.55,278.5924,,,
5.566666667,391.0068,,,
5.583333333,557.1848,,,
5.6,747.8006,,,
5.616666667,933.5288,,,
5.633333333,1114.3695,,,
5.65,1309.8729,,,
5.666666667,1485.826,,,
5.683333333,1642.2287,,,
5.7,1764.4184,,,
5.716666667,1881.7204,,,
5.733333333,2018.5728,,,
5.75,2165.2004,,,
5.766666667,2297.1652,,,
5.783333333,2424.2424,,,
5.8,2517.1065,,,
5.816666667,2639.2962,,,
5.833333333,2751.7107,,,
5.85,2864.1251,,,
5.866666667,2981.4272,,,
5.883333333,3128.0547,,,
5.9,3260.0196,,,
5.916666667,3401.7595,,,
5.933333333,3514.174,,,
5.95,3607.0381,,,
5.966666667,3675.4643,,,
5.983333333,3773.216,,,
6,3905.1808,,,
6.016666667,4081.1339,,,
6.033333333,4335.2884,,,
6.05,4648.0938,,,
6.066666667,4946.2366,,,
6.083333333,5000,,,
6.1,5000,,,
6.116666667,4364.6139,,,
6.133333333,3216.0313,,,
